Digit,Grau,Universitat,Nota,Ciutat
495,Pedagogia (Cerdanyola del Vallès),UAB,"8,702",Cerdanyola del Vallès
496,Pedagogia (Girona),UdG,"7,978",Girona
497,Pedagogia (Tarragona),URV,"8,355",Tarragona
498,Periodisme (Barcelona),UPF,"10,426",Barcelona
499,Periodisme (Cerdanyola del Vallès),UAB,"9,360",Cerdanyola del Vallès
500,Periodisme (Tarragona),URV,"8,806",Tarragona
501,Periodisme (Vic),UVic-UCC,"5,000",Vic
502,Pilot d'Aviació Comercial i Operacions Aèries (Reus),URV,"8,564",Reus
503,Podologia (L'Hospitalet de Llobregat),UB,"8,872",L'Hospitalet de Llobregat
504,Podologia  (Manresa),UVic-UCC,"5,000",Manresa
505,Prevenció i Seguretat Integral (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
506,Prevenció i Seguretat Integral (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
507,"Producció de Música i So per a la Indústria de l'Entreteniment ""ENTI"" (Barcelona)",UB,"5,000",Barcelona
508,Psicologia (Barcelona),UB,"9,892",Barcelona
509,Psicologia (Cerdanyola del Vallès),UAB,"9,840",Cerdanyola del Vallès
510,Psicologia (Girona),UdG,"9,710",Girona
511,Psicologia (Lleida),UdL,"9,762",Lleida
512,Psicologia (Tarragona),URV,"9,540",Tarragona
513,Psicologia (Vic),UVic-UCC,"7,948",Vic
514,Publicitat i Relacions Públiques (Barcelona),UPF,"11,430",Barcelona
515,Publicitat i Relacions Públiques (Cerdanyola del Vallès),UAB,"10,892",Cerdanyola del Vallès
516,Publicitat i Relacions Públiques (Girona),UdG,"9,480",Girona
517,Publicitat i Relacions Públiques (Tarragona),URV,"9,690",Tarragona
518,Publicitat i Relacions Públiques (Vic),UVic-UCC,"5,000",Vic
519,"Publicitat, Relacions Públiques i Màrqueting ""ESRP"" (Barcelona)",UB,"8,404",Barcelona
520,Química (Barcelona),UB,"10,028",Barcelona
521,Química (Cerdanyola del Vallès),UAB,"9,804",Cerdanyola del Vallès
522,Química (Girona),UdG,"8,512",Girona
523,Química (Tarragona),URV,"9,342",Tarragona
524,Química (Tarragona),URV,"9,342",Tarragona
525,Relacions Internacionals (Cerdanyola del Vallès),UAB,"11,570",Cerdanyola del Vallès
526,Relacions Laborals (Barcelona),UPF,"7,968",Barcelona
527,Relacions Laborals (Cerdanyola del Vallès),UAB,"8,492",Cerdanyola del Vallès
528,Relacions Laborals i Recursos Humans(Barcelona),UB,"8,176",Barcelona
529,Relacions Laborals i Recursos Humans (Lleida),UdL,"5,000",Lleida
530,Relacions Laborals i Recursos Humans (Tarragona),URV,"7,492",Tarragona
531,Seguretat (Mollet del Vallès),UB,"8,678",Mollet del Vallès
532,Sociologia (Barcelona),UB,"7,514",Barcelona
533,Sociologia (Cerdanyola del Vallès),UAB,"7,390",Cerdanyola del Vallès
534,"Tecnologies Industrials i Anàlisi Econòmica, Grau en + Màster Universitari en Enginyeria Industrial (Barcelona)",UPC / UPF,"12,540",Barcelona
535,Tecnologies Marines (Barcelona),UPC,"7,548",Barcelona
536,Teràpia Ocupacional EUIT de Terrassa (Terrassa),UAB,"5,000",Terrassa
537,Teràpia Ocupacional (Vic),UVic-UCC,"5,000",Vic
538,Traducció i Interpretació -Alemany- (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
539,"Traducció i Interpretació -Alemany / Francès / Llengua de Signes Catalana-
(Barcelona)",UPF,"5,000",Barcelona
540,Traducció i Interpretació -Anglès- (Barcelona),UPF,"6,132",Barcelona
541,Traducció i Interpretació -Anglès- (Cerdanyola del Vallès),UAB,"7,128",Cerdanyola del Vallès
542,Traducció i Interpretació -Francès- (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
543,Treball Social (Barcelona),UB,"7,830",Barcelona
544,Treball Social (Girona),UdG,"7,106",Girona
545,Treball Social (Lleida),UdL,"6,136",Lleida
546,Treball Social (Tarragona),URV,"7,362",Tarragona
547,"Turisme ""CETT"" (Barcelona)",UB,"5,000",Barcelona
548,"Turisme ""CETT"" (Barcelona)",UB,"5,000",Barcelona
549,"Turisme ""Euroaula"" (Barcelona)",UdG,"5,000",Barcelona
550,"Turisme ""Mediterrani"" (Barcelona)",UdG,"5,000",Barcelona
551,Turisme (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
552,Turisme (Cerdanyola del Vallès),UAB,"5,000",Cerdanyola del Vallès
553,Turisme (Girona),UdG,"5,044",Girona
554,Turisme (Lleida),UdL,"5,000",Lleida
555,"Turisme / Geografia, Territori i Medi Ambient  (Girona)",UdG,"5,000",Girona
556,"Turisme / Màrqueting ""Mediterrani""  (Barcelona)",UdG,"5,000",Barcelona
557,Turisme / Publicitat i Relacions Públiques  (Girona),UdG,"9,308",Girona
558,Veterinària (Cerdanyola del Vallès),UAB,"12,024",Cerdanyola del Vallès
559,Veterinària (Cerdanyola del Vallès),UAB,"12,024",Cerdanyola del Vallès
