Digit,Grau,Universitat,Nota,Ciutat
256,Enginyeria de Sistemes Audiovisuals (Terrassa),UPC,"7,214",Terrassa
257,Enginyeria de Sistemes Biològics (Castelldefels),UPC,"9,424",Castelldefels
258,"Enginyeria de Sistemes de Telecomunicació / Enginyeria Electrònica de
Telecomunicació  (Cerdanyola del Vallès)",UAB,"8,203",Cerdanyola del Vallès
259,"Enginyeria de Sistemes de Telecomunicació / Enginyeria Informàtica
 (Cerdanyola del Vallès)",UAB,"9,878",Cerdanyola del Vallès
260,"Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica 
 (Castelldefels)",UPC,"8,526",Castelldefels
261,Enginyeria de Sistemes de Telecomunicació / Enginyeria Telemàtica  (Castelldefels),UPC,"7,060",Castelldefels
262,Enginyeria de Sistemes i Serveis de Telecomunicacions (Tarragona),URV,"7,776",Tarragona
263,Enginyeria de Sistemes TIC  (Manresa),UPC,"7,538",Manresa
264,Enginyeria de Tecnologia i Disseny Tèxtil / Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica / Enginyeria Química (Terrassa),UPC,"9,085",Terrassa
265,Enginyeria de Tecnologies i Serveis de Telecomunicació (Barcelona),UPC,"8,876",Barcelona
266,"Enginyeria de Tecnologies i Serveis de Telecomunicació, Grau en + Màster Universitari Enginyeria de Telecomunicació (Barcelona)",UPC,"11,260",Barcelona
267,Enginyeria de Xarxes de Telecomunicació (Barcelona),UPF,"9,038",Barcelona
268,"Enginyeria d'Organització Industrial / Enginyeria Electrònica Industrial i
Automàtica / Enginyeria Mecànica ""Tecnocampus""  (Mataró)",UPF,"6,980",Mataró
269,Enginyeria Elèctrica (Barcelona / Sant Adrià de Besòs),UPC,"9,032",Barcelona / Sant Adrià de Besòs
270,Enginyeria Elèctrica (Girona),UdG,"7,330",Girona
271,Enginyeria Elèctrica (Tarragona),URV,"7,102",Tarragona
272,"Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica
 (Girona)",UdG,"7,190",Girona
273,"Enginyeria Elèctrica / Enginyeria Electrònica Industrial i Automàtica
 (Tarragona)",URV,"9,078",Tarragona
274,"Enginyeria Elèctrica i Sistemes Ferroviaris / Enginyeria Electrònica Industrial i
Automàtica / Enginyeria Mecànica  (Vilanova i la Geltrú)",UPC,"7,856",Vilanova i la Geltrú
275,Enginyeria Electrònica de Telecomunicació (Barcelona),UB,"9,370",Barcelona
276,Enginyeria Electrònica de Telecomunicació (Barcelona),UPC,"9,370",Barcelona
277,"Enginyeria Electrònica de Telecomunicació / Enginyeria Informàtica
 (Cerdanyola del Vallès)",UAB,"9,482",Cerdanyola del Vallès
278,"Enginyeria Electrònica Industrial i Automàtica ""EU Salesiana de Sarrià""
(Barcelona)",UAB,"6,732",Barcelona
279,Enginyeria Electrònica Industrial i Automàtica (Barcelona / Sant Adrià de Besòs),UPC,"9,240",Barcelona / Sant Adrià de Besòs
280,Enginyeria Electrònica Industrial i Automàtica (Girona),UdG,"7,244",Girona
281,Enginyeria Electrònica Industrial i Automàtica (Tarragona),URV,"7,050",Tarragona
282,"Enginyeria Electrònica Industrial i Automàtica / Enginyeria Mecànica ""EU
Salesiana de Sarrià""  (Barcelona)",UAB,"6,255",Barcelona
283,"Enginyeria en Energies Renovables i Eficiència Energètica ""EU Salesiana de
Sarrià"" (Barcelona)",UAB,"6,007",Barcelona
284,Enginyeria en Geoinformació i Geomàtica (Barcelona),UPC,"6,979",Barcelona
285,Enginyeria en Informàtica (Barcelona),UPF,"10,433",Barcelona
286,"Enginyeria en Organització Industrial ""EU Salesiana de Sarrià"" (Barcelona)",UAB,"6,634",Barcelona
287,"Enginyeria en Organització Industrial i Logística / Enginyeria Química 
(Igualada)",UdL,"7,170",Igualada
288,Enginyeria en Sistemes i Tecnologia Naval (Barcelona),UPC,"9,262",Barcelona
289,"Enginyeria en Tecnologies Aeroespacials, Grau en + Màster Universitari en
Enginyeria Aeronàutica (Terrassa)",UPC,"12,936",Terrassa
290,"Enginyeria en Tecnologies Industrials, Grau en + Màster Universitari en
Enginyeria Industrial  (Girona)",UdG,"8,726",Girona
291,"Enginyeria en Tecnologies Industrials, Grau en + Màster Universitari en
Enginyeria Industrial (Terrassa)",UPC,"10,140",Terrassa
292,"Enginyeria en Tecnologies Industrials, Grau en + Màster Universitari en
Enginyeria Industrial (Barcelona)",UPC,"11,098",Barcelona
293,Enginyeria en Vehicles Aeroespacials (Terrassa),UPC,"12,620",Terrassa
294,Enginyeria Física (Barcelona),UPC,"12,610",Barcelona
295,Enginyeria Forestal (Lleida),UdL,"5,324",Lleida
296,Enginyeria Informàtica (Barcelona),UB,"10,246",Barcelona
297,Enginyeria Informàtica (Barcelona),UPC,"10,246",Barcelona
